scientificname	longitude	latitude
Euseius sibelius	-47.9683	-18.1739
Euseius citrifolius	-49.3619	-20.7488
Euseius concordis	-54.75	-17.3834
Euseius citrifolius	-48.583	-20.5138
Euseius citrifolius	-49.3594	-20.7855
Euseius citrifolius	-54.75	-17.3834
Iphiseiodes zuluagai	-50.4338	-20.0036
Euseius citrifolius	-48.6311	-21.4441
Phytoscutus sexpilis	-49.2212	-21.4691
Amblyseius operculatus	-48.633	-17.3367
Typhlodromalus aripo	-49.2212	-21.4691
Iphiseiodes zuluagai	-39.1541	-13.7747
Amblyseius paulofariensis	-49.2212	-21.4691
Iphiseiodes zuluagai	-63.9011	-8.7318
Typhlodromalus aripo	-47.0162	-22.9035
Euseius citrifolius	-48.9401	-20.0247
Phytoseius nahuatlensis	-49.3168	-20.5319
Galendromus annectens	-54.75	-17.3834
Amblyseius neochiapensis	-48.6355	-16.695
Phytoseius nahuatlensis	-49.3666	-20.4666
Neoseiulus tunus	-49.3077	-20.8463
Iphiseiodes zuluagai	-63.9011	-8.7318
Euseius citrifolius	-49.3544	-20.7758
Euseius citrifolius	-54.75	-17.3834
Euseius citrifolius	-49.3619	-20.7488
Galendromimus multipoculi	-49.2212	-21.4691
Amblyseius aerialis	-49.9753	-20.4202
Amblyseius chiapensis	-48.6311	-21.4441
Metaseiulus ferlai	-48.29	-17.2933
Amblyseius aerialis	-67.8746	-9.9573
Typhlodromalus peregrinus	-52.6664	-18.393
Euseius citrifolius	-49.3077	-20.8463
Amblyseius acalyphus	-50.2933	-20.4736
Euseius concordis	-50.2933	-20.4736
Euseius citrifolius	-49.3799	-20.8111
Euseius citrifolius	-49.3261	-20.7816
Phytoseius nahuatlensis	-49.3166	-20.7666
Leonseius regularis	-39.2313	-14.7555
Euseius citrifolius	-49.2698	-20.9029
Euseius citrifolius	-49.9602	-20.7907
Phytoseius guianensis	-49.3166	-20.7666
Euseius concordis	-48.6311	-21.4441
Euseius citrifolius	-48.9147	-21.228
Amblyseius operculatus	-48.633	-17.3367
Proprioseiopsis dominigos	-48.5372	-21.6205
Phytoseius nahuatlensis	-49.3166	-20.7666
Euseius sibelius	-47.8827	-15.7941
Euseius alatus	-63.9011	-8.7318
Galendromus annectens	-49.3544	-20.7758
Leonseius elbanhawyi	-39.1722	-14.798
Transeius bellottii	-48.3894	-17.4205
Euseius citrifolius	-49.3261	-20.7816
Euseius citrifolius	-48.6311	-21.4441
Neoseiulus tunus	-49.3077	-20.8463
Neoseiulus tunus	-52.6281	-18.794
Iphiseiodes zuluagai	-54.75	-17.3834
Iphiseiodes zuluagai	-49.4338	-20.8322
Euseius citrifolius	-49.3594	-20.7855
Metaseiulus camelliae	-49.3594	-20.7855
Neoseiulus benjamini	-47.8827	-15.7941
Euseius citrifolius	-48.6311	-21.4441
Amblyseius perditus	-59.9727	-2.8934
Iphiseiodes zuluagai	-48.6311	-21.4441
Amblyseius chicomendesi	-67.8746	-9.9573
Euseius citrifolius	-49.3619	-20.7488
Euseius citrifolius	-48.6311	-21.4441
Euseius sibelius	-49.3594	-20.7855
Euseius citrifolius	-48.6311	-21.4441
Neoseiulus idaeus	-49.3799	-20.8111
Amblydromalus manihoti	-49.5	-20.2833
Euseius citrifolius	-49.3619	-20.7488
Euseius concordis	-54.75	-17.3834
Amblydromalus manihoti	-48.5333	-21.6166
Euseius citrifolius	-48.9147	-21.228
Phytoseius intermedius	-47.9989	-17.273
Neoseiulus benjamini	-50.5475	-20.2681
Typhlodromalus aripo	-49.3168	-20.5319
Euseius concordis	-48.6311	-21.4441
Neoseiulus benjamini	-47.8827	-15.7941
Euseius citrifolius	-49.3261	-20.7816
Amblyseius chicomendesi	-67.8746	-9.9573
Amblyseius aerialis	-67.65	-10.05
Amblyseius paulofariensis	-49.5426	-19.9514
Leonseius regularis	-39.1541	-13.7747
