"species_search"	"decimalLongitude"	"decimalLatitude"
"Amblyseius herbicolus"	-25.31683	37.76657
"Amblyseius herbicolus"	-25.30549	37.76641
"Amblyseius herbicolus"	-25.30528	37.77542
"Amblyseius herbicolus"	-25.30518	37.77992
"Amblyseius herbicolus"	-25.59432	37.80175
"Amblyseius herbicolus"	-25.58855	37.80619
"Amblyseius herbicolus"	-25.59414	37.81076
"Amblyseius herbicolus"	-25.57702	37.81506
"Amblyseius herbicolus"	-25.56566	37.81493
"Amblyseius herbicolus"	-25.83224	37.8404
"Amblyseius herbicolus"	-25.84346	37.84953
"Amblyseius herbicolus"	-25.79786	37.85808
"Amblyseius herbicolus"	-28.62591	38.51536
"Amblyseius herbicolus"	-28.63164	38.51528
"Amblyseius herbicolus"	-28.17192	38.4577
"Amblyseius herbicolus"	-28.60971	38.56064
"Amblyseius herbicolus"	-28.71785	38.52305
"Amblyseius herbicolus"	-28.69491	38.52339
"Amblyseius herbicolus"	-28.66051	38.52388
"Amblyseius herbicolus"	-28.73516	38.5273
"Amblyseius herbicolus"	-28.72942	38.52739
"Amblyseius herbicolus"	-28.71222	38.52764
"Amblyseius herbicolus"	-28.68929	38.52798
"Amblyseius herbicolus"	-28.67782	38.52814
"Amblyseius herbicolus"	-28.741	38.53172
"Amblyseius herbicolus"	-28.71233	38.53215
"Amblyseius herbicolus"	-28.70659	38.53223
"Amblyseius herbicolus"	-28.68366	38.53256
"Amblyseius herbicolus"	-28.67219	38.53273
"Amblyseius herbicolus"	-28.66082	38.53739
"Amblyseius herbicolus"	-28.74122	38.54073
"Amblyseius herbicolus"	-28.67813	38.54165
"Amblyseius herbicolus"	-28.6724	38.54173
"Amblyseius herbicolus"	-28.66666	38.54182
"Amblyseius herbicolus"	-28.68971	38.54599
"Amblyseius herbicolus"	-28.67824	38.54616
"Amblyseius herbicolus"	-28.74717	38.54965
"Amblyseius herbicolus"	-28.67834	38.55066
"Amblyseius herbicolus"	-28.60951	38.55163
"Amblyseius herbicolus"	-28.75301	38.55407
"Amblyseius herbicolus"	-28.62682	38.55589
"Amblyseius herbicolus"	-28.62692	38.5604
"Amblyseius herbicolus"	-28.63286	38.56933
"Amblyseius herbicolus"	-28.62713	38.56941
"Amblyseius herbicolus"	-28.05686	38.42725
